duplicate_id,event_date,duplicate_mrn,original_mrn,source,department_id,department_name,service_line,contributory_factor_type,contributory_factors,primary_category,status,resolution_type,days_to_resolution,assigned_analyst,facility,patient_age_group,duplicate_score,investigation_time_minutes
2871,2026-01-09,79193834,3811090,Internal Registration,2,Emergency Department,Emergency,Data Entry Error,Incorrect address entry,Address,Resolved,Split,9,Elvis Wyburn,THE REGIONAL MEDICAL CENTER OF ORANGEBURG AND CALHOUN COUNTIES,Pediatric,63,11
2872,2024-02-26,5004591,38678363,Internal Registration,5,Laboratory,Ancillary,Data Entry Error,Incorrect address entry,Address,Resolved,Merge,15,Jakie Dunckley,GEISINGER MEDICAL CENTER,Adult,66,6
2873,2025-02-04,49780645,70503703,Emergency Department,1,Primary Care,Ambulatory,Registration Information,Missing insurance information,Insurance Information,Pending Review,Pending,3,Timotheus Wagstaff,ST JOHN'S HOSPITAL,Adult,91,5
2874,2025-01-05,6146561,46855657,Call Center,8,Behavioral Health,Behavioral Health,System Issue,Interface mapping error,System/Interface,Resolved,No Action Required,15,Consalve Danilchev,CECILIA MEDICAL CENTER,Senior,69,5
2875,2024-05-05,98203344,39644195,Self-schedule,3,Urgent Care,Ambulatory,Workflow Issue,Skipped duplicate search,Workflow,Resolved,No Action Required,8,Lannie Purtell,LAGS SPINE AND SPORTSCARE MEDICAL CENTERS INC,Adult,54,20
2876,2025-12-03,47228686,27648906,Internal Registration,3,Urgent Care,Ambulatory,Data Entry Error,Transposed first/last name,Patient Name,In Progress,Pending,27,Yard Grundell,EAST TEXAS MEDICAL CENTER HEALTHCARE ASSOCIATES,Senior,83,16
2877,2024-06-26,30330576,79403183,Internal Registration,5,Laboratory,Ancillary,Data Entry Error,Name typo,Patient Name,Resolved,No Action Required,3,Kearney Pilmer,"SPRING BRANCH MEDICAL CENTER, INC.",Senior,86,31
2878,2026-01-30,37657845,16818637,Call Center,5,Laboratory,Ancillary,Registration Information,Duplicate registration attempt,Registration Process,Resolved,KND,4,Rosalinde Arundel,"KALISPELL REGIONAL MEDICAL CENTER, INC",Senior,86,10
2879,2025-12-09,56305737,63044346,Referral,8,Behavioral Health,Behavioral Health,Workflow Issue,Registration workflow deviation,Workflow,In Progress,Pending,25,Baxie Carnelley,TEXAS PERSONAL INJURY MEDICAL CENTER LLC,Adult,90,5
2880,2024-07-28,45856947,6995861,Internal Registration,1,Primary Care,Ambulatory,Data Entry Error,DOB typo,Date of Birth,Resolved,KND,3,Gilbertina Edel,SALIDA HOSPITAL DISTRICT,Adult,73,61
2881,2024-03-04,2744287,18817730,Emergency Department,7,Inpatient,Inpatient,System Issue,Data synchronization issue,System/Interface,Resolved,No Action Required,13,Stefan Gehrtz,"TOWNSEND MEDICAL CENTER, PLC",Adult,82,25
2882,2024-09-01,11344683,70134292,Self-schedule,3,Urgent Care,Ambulatory,Workflow Issue,Skipped duplicate search,Workflow,Resolved,KND,9,Barnabe Caseborne,HOSPITAL MEDICINE CONSULTANTS,Adult,90,53
2883,2025-05-22,75360698,93438202,Emergency Department,8,Behavioral Health,Behavioral Health,Patient Input Error,Incorrect patient information,Other,Resolved,Split,9,Prinz Curling,"MCHENRY MEDICAL CENTER, S.C.",Adult,95,20
2884,2024-02-10,48751096,2379810,Internal Registration,4,Specialty Clinics,Ambulatory,Data Entry Error,Incorrect address entry,Address,Resolved,KND,7,Dolph Figgess,"ST. MARY'S MEDICAL CENTER HOME HEALTH SERVICES, LLC",Adult,91,70
2885,2025-02-27,63163744,55773215,Internal Registration,4,Specialty Clinics,Ambulatory,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,Split,14,Mariejeanne Oertzen,MOBRIDGE REGIONAL HOSPITAL,Pediatric,78,75
2886,2024-01-29,95850666,12778887,Emergency Department,8,Behavioral Health,Behavioral Health,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Split,5,Stanislaus Fowles,BUNKIE GENERAL HOSPITAL,Senior,94,67
2887,2023-12-31,161430,67212834,Self-schedule,5,Laboratory,Ancillary,Workflow Issue,Registration workflow deviation,Workflow,Resolved,No Action Required,12,Claudelle Fairbrace,MISSION HOSPITAL INC,Adult,80,5
2888,2023-11-21,36590370,96994019,Call Center,7,Inpatient,Inpatient,System Issue,System duplicate creation,System/Interface,Resolved,Merge,5,Abagail Hauxby,SF HOSPITALISTS INC,Adult,98,10
2889,2024-12-04,96640774,68303009,Emergency Department,6,Radiology,Ancillary,System Issue,Data synchronization issue,System/Interface,Resolved,Split,10,Yolande Cromblehome,OVERLOOK HOSPITAL,Adult,75,155
2890,2023-10-04,6664074,85176440,Internal Registration,6,Radiology,Ancillary,Patient Input Error,Guardian entered own name,Patient Name,Resolved,No Action Required,11,Valida Deeley,F&M RADIOLOGY MEDICAL CENTER INC,Senior,66,24
2891,2024-04-12,36262311,85665295,Internal Registration,8,Behavioral Health,Behavioral Health,Data Entry Error,DOB typo,Date of Birth,Resolved,Merge,3,Edgard Pettit,SKIFF MEDICAL CENTER,Adult,88,36
2892,2025-07-04,97128096,44231774,Self-schedule,8,Behavioral Health,Behavioral Health,System Issue,Data synchronization issue,System/Interface,Resolved,No Action Required,8,Zackariah Sinney,BELLIN MEMORIAL HOSPITAL INC,Adult,63,68
2893,2024-12-07,80089019,71321175,Internal Registration,1,Primary Care,Ambulatory,Data Entry Error,DOB typo,Date of Birth,Pending Review,Pending,9,Waylin Samweyes,"WESTCHESTER-ELLENVILLE HOSPITAL, INC.",Pediatric,61,33
2894,2024-08-30,39906869,6851964,Internal Registration,2,Emergency Department,Emergency,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,Split,6,Fred Cherry,PUBLIC HOSPITAL DISTRICT NO. 1 OF SNOHOMISH COUNTY,Adult,95,131
2895,2026-05-07,76858173,56836456,Internal Registration,7,Inpatient,Inpatient,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Merge,4,Katya Springate,SOUTHERN ILLINOIS HOSPITAL SERVICES,Adult,84,5
2896,2025-08-04,79565673,40572398,Self-schedule,7,Inpatient,Inpatient,Registration Information,Missing insurance information,Insurance Information,Resolved,Split,1,Sibyl Mapples,SOUTHERN TENNESSEE MEDICAL CENTER LLC,Adult,71,75
2897,2023-10-23,84498884,24433685,Internal Registration,1,Primary Care,Ambulatory,Registration Information,Missing insurance information,Insurance Information,Resolved,Split,11,Caspar Dunphy,KAU HOSPITAL,Adult,74,6
2898,2025-03-31,84219601,18658864,Emergency Department,2,Emergency Department,Emergency,Patient Input Error,Incorrect patient information,Other,Resolved,No Action Required,7,Dottie Mc Corley,CAVALIER COUNTY MEMORIAL HOSPITAL ASSOCIATION,Senior,85,7
2899,2023-09-21,95859258,73763116,Self-schedule,8,Behavioral Health,Behavioral Health,Data Entry Error,Incorrect address entry,Address,Resolved,Split,3,Mahala Gansbuhler,"OUTPATIENT HOSPITAL SERVICES, LLC",Adult,99,57
2900,2025-07-15,6183534,18219911,Internal Registration,2,Emergency Department,Emergency,Data Entry Error,Transposed first/last name,Patient Name,In Progress,Pending,4,Curt Beldon,CHAMBERSBURG HOSPITAL,Adult,94,11
2901,2025-06-16,64635764,57776810,Emergency Department,6,Radiology,Ancillary,Registration Information,Missing insurance information,Insurance Information,Resolved,KND,11,Janella Fairclough,MID-COLUMBIA MEDICAL CENTER,Adult,90,14
2902,2026-04-25,16610928,67781557,Patient Portal,2,Emergency Department,Emergency,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Merge,7,Sunny Hunnawill,PRATT REGIONAL MEDICAL CENTER CORPORATION,Adult,70,63
2903,2023-12-30,1953596,40821129,Self-schedule,1,Primary Care,Ambulatory,Data Entry Error,Transposed first/last name,Patient Name,In Progress,Pending,30,Otha Bordes,CHILDREN'S HOSPITAL AND REGIONAL MEDICAL CENTER,Senior,72,41
2904,2025-05-05,19110244,22220364,External Interface,6,Radiology,Ancillary,Patient Input Error,Incorrect patient information,Other,Resolved,No Action Required,2,Staci Melmoth,"ANGEL MEDICAL CENTER, INC.",Adult,63,9
2905,2025-04-17,75819416,98649748,Patient Portal,2,Emergency Department,Emergency,Data Entry Error,DOB typo,Date of Birth,Resolved,Split,12,Reinaldos Ilson,MOUNT NITTANY MEDICAL CENTER,Adult,84,5
2906,2024-10-17,29395515,91903470,Internal Registration,8,Behavioral Health,Behavioral Health,Workflow Issue,Registration workflow deviation,Workflow,Resolved,No Action Required,7,Reeva Phillipp,"ORANGE COUNTY GLOBAL MEDICAL CENTER, INC",Adult,83,15
2907,2025-12-23,59500928,4764672,Internal Registration,4,Specialty Clinics,Ambulatory,Data Entry Error,Incorrect address entry,Address,Resolved,Merge,2,Mercy Ollerhad,HENDRICK MEDICAL CENTER,Senior,35,9
2908,2024-10-12,30637134,66928523,Self-schedule,3,Urgent Care,Ambulatory,Data Entry Error,Name typo,Patient Name,Resolved,No Action Required,10,Nan Sarjeant,BARTLETT REGIONAL HOSPITAL,Adult,98,22
2909,2025-12-31,90391884,95140063,Self-schedule,8,Behavioral Health,Behavioral Health,Data Entry Error,Name typo,Patient Name,In Progress,Pending,15,Brandy Border,CORPUS CHRISTI REHABILITATION HOSPITAL LLC,Adult,98,16
2910,2025-06-09,43584175,83263092,Internal Registration,3,Urgent Care,Ambulatory,Registration Information,Missing insurance information,Insurance Information,Resolved,Split,13,Den Lorenzetto,SALIDA HOSPITAL DISTRICT,Adult,90,19
2911,2025-10-24,34205417,20042311,Internal Registration,6,Radiology,Ancillary,Registration Information,Duplicate registration attempt,Registration Process,Resolved,KND,7,Dorothea Packwood,LANCASTER GENERAL HOSPITAL,Adult,79,157
2912,2023-11-19,63906161,93494356,Self-schedule,6,Radiology,Ancillary,Workflow Issue,Registration workflow deviation,Workflow,Resolved,Split,7,Henrie Jenman,COMMUNITY HOSPITALS OF INDIANA INC,Adult,100,16
2913,2023-10-30,94539517,13647991,Internal Registration,7,Inpatient,Inpatient,Workflow Issue,Registration workflow deviation,Workflow,Resolved,No Action Required,11,Carmen O'Hederscoll,RUSH UNIVERSITY MEDICAL CENTER,Adult,92,11
2914,2024-11-13,97549267,7086702,Internal Registration,1,Primary Care,Ambulatory,System Issue,System duplicate creation,System/Interface,Resolved,Split,2,Shelba Clarricoates,"WALTERBORO COMMUNITY HOSPITAL, INC.",Pediatric,51,74
2915,2026-02-17,92396784,3373686,Internal Registration,1,Primary Care,Ambulatory,System Issue,Data synchronization issue,System/Interface,Resolved,No Action Required,15,Audy Lincey,DELTA MEMORIAL HOSPITAL,Adult,81,13
2916,2024-01-10,43249618,21533807,Call Center,1,Primary Care,Ambulatory,Registration Information,Duplicate registration attempt,Registration Process,Resolved,Split,14,Leshia Krugmann,IRWIN ARMY COMMUNITY HOSPITAL,Adult,84,6
2917,2026-05-19,79398918,47357685,Internal Registration,1,Primary Care,Ambulatory,Data Entry Error,Name typo,Patient Name,Escalated,Pending,33,Yolane Retter,WEST CUSTER COUNTY HOSPITAL DISTRICT,Pediatric,94,18
2918,2025-04-30,78081976,11817829,Emergency Department,1,Primary Care,Ambulatory,Data Entry Error,DOB typo,Date of Birth,Pending Review,Pending,14,Marlo Sporle,NEWNAN HOSPITAL,Adult,85,207
2919,2026-04-09,66284514,38434854,Self-schedule,2,Emergency Department,Emergency,Data Entry Error,Name typo,Patient Name,Escalated,Pending,24,Joyan Balsom,ALLEN MEMORIAL HOSPITAL CORPORATION,Adult,87,20
2920,2025-08-19,8197602,3158772,Internal Registration,5,Laboratory,Ancillary,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Split,5,Lucia Valti,"CAMPBELL COUNTY HOSPITAL DISTRICT,",Senior,88,30
2921,2024-05-29,34602289,60652853,Emergency Department,7,Inpatient,Inpatient,Registration Information,Duplicate registration attempt,Registration Process,In Progress,Pending,19,Westley Gowthorpe,OAKBEND MEDICAL CENTER,Adult,87,23
2922,2024-10-07,64514295,60431425,Patient Portal,5,Laboratory,Ancillary,Data Entry Error,DOB typo,Date of Birth,Resolved,Split,9,Cory Yateman,DEPART. HEALTH AND HOSPITALS,Adult,91,21
2923,2025-08-23,19352199,49605976,Emergency Department,8,Behavioral Health,Behavioral Health,Data Entry Error,Transposed first/last name,Patient Name,Resolved,KND,12,Daile Starcks,BOSTON MEDICAL CENTER,Adult,87,207
2924,2024-04-20,36959946,55899937,Emergency Department,1,Primary Care,Ambulatory,System Issue,Interface mapping error,System/Interface,Resolved,Split,15,Lacey Sline,KAU HOSPITAL,Adult,87,20
2925,2026-05-12,3565652,19332289,Internal Registration,7,Inpatient,Inpatient,System Issue,Data synchronization issue,System/Interface,Resolved,Merge,1,Audra Rubra,CHESAPEAKE HOSPITAL CORPORATION,Pediatric,94,16
2926,2024-01-06,32052443,72865691,Self-schedule,6,Radiology,Ancillary,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,No Action Required,1,Booth Branche,NAVAL MEDICAL CENTER SAN DIEGO,Adult,77,24
2927,2026-04-03,78556205,88559608,Internal Registration,2,Emergency Department,Emergency,Data Entry Error,DOB typo,Date of Birth,Resolved,Split,6,Brant Breed,SOMERVELL COUNTY HOSPITAL DISTRICT,Senior,82,154
2928,2025-10-16,29346216,62446965,Emergency Department,6,Radiology,Ancillary,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Merge,14,Artur Radsdale,LA PORTE HOSPITAL COMPANY LLC,Senior,60,14
2929,2023-09-08,3682599,49602047,Emergency Department,5,Laboratory,Ancillary,System Issue,System duplicate creation,System/Interface,Resolved,Split,4,Wallie Hardesty,"HOSPITAL ESPANOL AUXILIO MUTUO DE PUERTO RICO, INC.",Adult,97,25
2930,2024-07-09,81748411,32015505,Internal Registration,8,Behavioral Health,Behavioral Health,Data Entry Error,Transposed first/last name,Patient Name,Resolved,KND,1,Cthrine Lerigo,NORTHFIELD HOSPITAL,Adult,97,206
2931,2026-01-31,79858612,30025350,Emergency Department,1,Primary Care,Ambulatory,Data Entry Error,Incorrect address entry,Address,Resolved,KND,7,Parke Crinkley,PHYSICIANS MEDICAL CENTER P C,Adult,92,25
2932,2023-11-13,90559525,75738608,Emergency Department,1,Primary Care,Ambulatory,Registration Information,Incomplete demographics,Demographics/Registration,In Progress,Pending,1,Alie Polon,CENTRE HOSPITAL CORPORATION,Adult,82,14
2933,2026-06-12,99513204,44422810,Self-schedule,2,Emergency Department,Emergency,Data Entry Error,Incorrect address entry,Address,Escalated,Pending,51,Doe Elcocks,"BON SECOURS-ST. MARY'S HOSPITAL OF RICHMOND, INC.",Adult,89,132
2934,2025-10-11,42626126,15834807,Self-schedule,6,Radiology,Ancillary,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,Merge,8,Janna Chasemoore,BELLVILLE HOSPITAL DISTRICT,Adult,96,14
2935,2025-05-12,43390641,16773509,Referral,7,Inpatient,Inpatient,Registration Information,Missing insurance information,Insurance Information,Resolved,Split,13,Cati O'Shirine,ST. FRANCIS MEDICAL CENTER,Senior,99,18
2936,2026-06-08,1439503,96043487,Self-schedule,1,Primary Care,Ambulatory,Patient Input Error,Incorrect patient information,Other,Resolved,No Action Required,8,Maurice Rabbe,NORTH OAK REGIONAL HOSPITAL INC,Senior,82,9
2937,2025-12-18,94945729,36211309,Patient Portal,1,Primary Care,Ambulatory,Data Entry Error,Transposed first/last name,Patient Name,Escalated,Pending,46,Berkly Janek,TENET HOSPITALS LIMITED,Adult,94,97
2938,2025-10-11,10680195,49486674,Internal Registration,5,Laboratory,Ancillary,Data Entry Error,Name typo,Patient Name,Resolved,Merge,6,Guinna Cromarty,KAISER FOUNDATION HOSPITALS,Adult,83,15
2939,2025-11-23,21537539,26000358,Self-schedule,4,Specialty Clinics,Ambulatory,Registration Information,Missing insurance information,Insurance Information,Resolved,Split,9,Cozmo Heale,HARDTNER MEDICAL CENTER,Pediatric,84,69
2940,2026-01-27,84907203,3130620,Self-schedule,2,Emergency Department,Emergency,System Issue,System duplicate creation,System/Interface,Resolved,KND,6,Tobit Yuill,MEMORIAL HOSPITAL,Pediatric,87,5
2941,2024-03-10,98054531,2081630,Internal Registration,1,Primary Care,Ambulatory,Workflow Issue,Registration workflow deviation,Workflow,Resolved,Split,12,Consuela Restall,BARNES-JEWISH HOSPITAL,Pediatric,73,8
2942,2024-07-27,90262764,32394665,Self-schedule,5,Laboratory,Ancillary,System Issue,Interface mapping error,System/Interface,Resolved,Split,10,Hyacinthie Parzis,CAMPBELL COUNTY HOSPITAL DISTRICT,Adult,78,115
2943,2025-01-25,58555545,97965828,Emergency Department,7,Inpatient,Inpatient,System Issue,Data synchronization issue,System/Interface,Resolved,No Action Required,14,Anabella Ivkovic,UNIVERSITY OF VIRGINIA MEDICAL CENTER,Adult,90,23
2944,2023-10-06,79234817,19542137,Internal Registration,4,Specialty Clinics,Ambulatory,Data Entry Error,Name typo,Patient Name,Resolved,KND,15,Jodi Plenderleith,DLP MARQUETTE GENERAL HOSPITAL LLC,Pediatric,96,66
2945,2026-04-30,84964342,8159310,Referral,4,Specialty Clinics,Ambulatory,Data Entry Error,DOB typo,Date of Birth,Resolved,KND,15,Brana Aylmer,JOHN T. MATHER MEMORIAL HOSPITAL,Adult,57,16
2946,2025-08-02,92183127,74690459,Self-schedule,4,Specialty Clinics,Ambulatory,Data Entry Error,DOB typo,Date of Birth,In Progress,Pending,12,Phebe Dupree,"UNIVERSITY HOSPITALS MEDICAL GROUP, INC.",Senior,96,24
2947,2025-10-15,93641704,26668896,Emergency Department,7,Inpatient,Inpatient,System Issue,System duplicate creation,System/Interface,In Progress,Pending,20,Babita Almeida,JOHN H STROGER HOSPITAL OF COOK COUNTY,Senior,87,14
2948,2024-06-05,56093788,86076156,Self-schedule,7,Inpatient,Inpatient,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Merge,4,Ado Chatan,"KIAMICHI FAMILY MEDICAL CENTER, INC",Adult,94,195
2949,2026-02-14,15020361,247442,Internal Registration,6,Radiology,Ancillary,Registration Information,Missing insurance information,Insurance Information,Resolved,Merge,12,Eleen Jamison,ST CATHERINE HOSPITAL,Adult,80,199
2950,2025-04-14,10308254,98834376,Internal Registration,6,Radiology,Ancillary,System Issue,Data synchronization issue,System/Interface,Resolved,No Action Required,13,Fanchette Drane,"ALIVIO MEDICAL CENTER, INC.",Adult,95,5
2951,2025-12-13,12053880,60804177,Self-schedule,6,Radiology,Ancillary,Data Entry Error,Incorrect address entry,Address,Resolved,No Action Required,9,Waldo Thomassen,PARKER POINT MEDICAL CENTER P.C.,Senior,82,12
2952,2024-11-21,37353759,7552841,Call Center,8,Behavioral Health,Behavioral Health,Data Entry Error,DOB typo,Date of Birth,Resolved,Split,7,Ware Dorgan,SUMMA HEALTH SYSTEM HOSPITALS,Pediatric,94,21
2953,2026-01-07,86893455,158520,Emergency Department,3,Urgent Care,Ambulatory,Registration Information,Missing insurance information,Insurance Information,Resolved,Split,10,Bobina Ranfield,"NEW MEDICAL CENTER, S.C.",Pediatric,86,7
2954,2025-04-26,53810550,74279232,Internal Registration,3,Urgent Care,Ambulatory,Registration Information,Missing insurance information,Insurance Information,Resolved,KND,4,Sibeal Chatto,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,Adult,71,7
2955,2025-12-11,62155165,51215964,Self-schedule,1,Primary Care,Ambulatory,Registration Information,Duplicate registration attempt,Registration Process,Resolved,Split,1,Ludovico Sachno,"ALVARADOHOSPITAL, LLC",Adult,74,9
2956,2024-01-20,9510254,76671552,Self-schedule,1,Primary Care,Ambulatory,Workflow Issue,Skipped duplicate search,Workflow,Resolved,Merge,4,Laney Brothers,CAROLINAS MEDICAL CENTER,Senior,77,7
2957,2024-11-19,40534447,69858404,Internal Registration,1,Primary Care,Ambulatory,Data Entry Error,Name typo,Patient Name,Resolved,Split,4,Olva Payley,WESTERN STAR HOSPITAL AUTHORITY INC,Adult,91,32
2958,2026-02-25,59146340,45180193,Internal Registration,3,Urgent Care,Ambulatory,System Issue,System duplicate creation,System/Interface,Resolved,Split,15,Viola Brammar,PRIMARY CHILDREN'S MEDICAL CENTER,Adult,89,15
2959,2026-02-25,87842510,56925147,Internal Registration,4,Specialty Clinics,Ambulatory,System Issue,Data synchronization issue,System/Interface,Resolved,Merge,14,Arnoldo Casajuana,"CHARLESTON MEDICAL CENTER, INC.",Adult,56,16
2960,2026-01-15,41660501,92918328,Internal Registration,5,Laboratory,Ancillary,Data Entry Error,DOB typo,Date of Birth,Resolved,No Action Required,5,Cornell Hatt,THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY,Adult,85,11
2961,2026-01-04,96303830,98785915,Self-schedule,5,Laboratory,Ancillary,Registration Information,Missing insurance information,Insurance Information,Resolved,KND,4,Terrell Fish,WINNIE-STOWELL HOSPITAL DISTRICT,Adult,85,19
2962,2025-12-12,64520185,60048998,Self-schedule,1,Primary Care,Ambulatory,Patient Input Error,Incorrect patient information,Other,Resolved,Merge,11,Wells Brasse,"APACHE JUNCTION HOSPITAL, LLC",Adult,44,7
2963,2025-07-23,77289452,67422371,Call Center,2,Emergency Department,Emergency,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,Merge,1,Cookie Causier,CHILDRENS SPECIALIZED HOSPITAL,Adult,82,213
2964,2026-02-13,82812275,36193656,Internal Registration,5,Laboratory,Ancillary,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Merge,10,Nadine De Vaar,MEDICAL CENTER PHARMACY INC,Adult,63,162
2965,2025-04-07,75061660,23897279,Self-schedule,1,Primary Care,Ambulatory,System Issue,System duplicate creation,System/Interface,Resolved,KND,10,Bethena Curness,MERCY HOSPITAL GRAYLING,Adult,86,8
2966,2024-01-18,24462840,56147877,Internal Registration,6,Radiology,Ancillary,Data Entry Error,DOB typo,Date of Birth,Pending Review,Pending,9,Britta Sweatland,RIVERSIDE GLADES MEDICAL CENTER,Adult,71,37
2967,2025-12-26,59616022,92085224,Self-schedule,7,Inpatient,Inpatient,System Issue,System duplicate creation,System/Interface,Resolved,Split,15,Brigitta Galley,PHOEBE PUTNEY MEMORIAL HOSPITAL,Adult,91,8
2968,2024-12-08,4529797,52610513,Self-schedule,7,Inpatient,Inpatient,Data Entry Error,DOB typo,Date of Birth,Resolved,Merge,5,Jaymee Pibsworth,FORT YATES INDIAN HEALTH SERVICE HOSPITAL,Adult,68,36
2969,2025-06-25,14951192,88015466,Internal Registration,8,Behavioral Health,Behavioral Health,Patient Input Error,Guardian entered own name,Patient Name,Resolved,No Action Required,4,Clair Linsey,"HARRINGTON MEMORIAL HOSPITAL, INC.",Adult,59,15
2970,2026-06-18,98064330,81226218,Internal Registration,2,Emergency Department,Emergency,Data Entry Error,Incorrect address entry,Address,Resolved,Merge,9,Hastie O'Corren,"SOUTHERN MARYLAND HOSPITAL, INC.",Adult,90,24
2971,2025-02-17,28367692,83975321,External Interface,5,Laboratory,Ancillary,Data Entry Error,Incorrect address entry,Address,Resolved,Split,4,Jourdain Challicombe,ST. MARYS MEDICAL CENTER,Adult,85,24
2972,2025-03-29,40849924,88088791,Internal Registration,2,Emergency Department,Emergency,System Issue,Data synchronization issue,System/Interface,Resolved,Merge,7,Ricki Fodden,"LIFEBRITE HOSPITAL GROUP OF STOKES, LLC",Pediatric,94,44
2973,2024-10-08,35107689,51240471,Call Center,2,Emergency Department,Emergency,Data Entry Error,DOB typo,Date of Birth,Escalated,Pending,33,Frederick Greim,"NORTHWEST MEDICAL CENTER ASSOCIATION, INC",Senior,79,114
2974,2026-03-11,56984729,11669055,Self-schedule,7,Inpatient,Inpatient,Data Entry Error,DOB typo,Date of Birth,Resolved,KND,6,Oralla Sheavills,REGIONAL WEST MEDICAL CENTER,Adult,86,13
2975,2024-09-23,98631301,99975980,Internal Registration,5,Laboratory,Ancillary,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,KND,10,Vito Blakemore,SPARROW CLINTON HOSPITAL,Senior,90,18
2976,2024-04-19,73936382,46167243,Internal Registration,2,Emergency Department,Emergency,Data Entry Error,Name typo,Patient Name,Resolved,No Action Required,6,Carmencita Yewman,SOUTH FLORIDA BAPTIST HOSPITAL INC.,Pediatric,98,197
2977,2024-03-22,35772904,88076335,Self-schedule,8,Behavioral Health,Behavioral Health,Patient Input Error,Guardian entered own DOB,Date of Birth,Resolved,No Action Required,9,Ceil Catonne,PALO PINTO COUNTY HOSPITAL DISTRICT,Senior,79,180
2978,2025-09-16,11724872,47860503,Emergency Department,2,Emergency Department,Emergency,Data Entry Error,Incorrect address entry,Address,Pending Review,Pending,10,Gunner Playfair,POTRANCO MEDICAL CENTER,Adult,97,18
2979,2024-05-14,88659781,33001919,Internal Registration,3,Urgent Care,Ambulatory,Data Entry Error,Name typo,Patient Name,Resolved,Merge,14,Eudora Jime,YAVAPAI COMMUNITY HOSPITAL ASSOCIATION,Adult,90,46
2980,2026-02-18,31508057,15402949,Emergency Department,1,Primary Care,Ambulatory,Data Entry Error,DOB typo,Date of Birth,Resolved,Split,9,Jacky Pauluzzi,"HOSPITALIST MEDICINE PHYSICIANS OF CALIFORNIA - STOCKTON, PC",Adult,86,21
2981,2026-02-21,22069574,74420143,Emergency Department,8,Behavioral Health,Behavioral Health,Data Entry Error,Transposed first/last name,Patient Name,Resolved,No Action Required,4,Thebault Perren,HUMPHREYS COUNTY MEMORIAL HOSPITAL,Adult,98,6
2982,2025-05-29,40504107,492305,Self-schedule,7,Inpatient,Inpatient,Workflow Issue,Skipped duplicate search,Workflow,Resolved,KND,11,Jedd Rouby,IRWIN ARMY COMMUNITY HOSPITAL,Adult,46,23
2983,2024-11-26,40268201,91176344,Internal Registration,3,Urgent Care,Ambulatory,Data Entry Error,Name typo,Patient Name,Resolved,Merge,5,Teri Sallenger,DECATUR COUNTY GENERAL HOSPITAL,Adult,78,14
2984,2024-07-08,17303568,80014858,Self-schedule,2,Emergency Department,Emergency,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Merge,9,Cymbre Attenborrow,CENTRAL IOWA HOSPITAL CORPORATION,Adult,81,33
2985,2025-09-20,92526330,90939321,Call Center,8,Behavioral Health,Behavioral Health,Data Entry Error,Incorrect address entry,Address,Resolved,No Action Required,13,Zia Sleicht,HEALTHEAST ST JOSEPHS HOSPITAL,Senior,99,16
2986,2026-03-03,51587924,98914981,Call Center,2,Emergency Department,Emergency,Registration Information,Incomplete demographics,Demographics/Registration,Resolved,Merge,4,Haze Willock,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO CHILDREN'S HOSPITAL",Adult,91,19
2987,2025-06-27,69688295,29924110,Self-schedule,1,Primary Care,Ambulatory,Data Entry Error,DOB typo,Date of Birth,Resolved,KND,11,Merilyn Brew,MYMICHIGAN MEDICAL CENTER SAGINAW,Adult,87,7
2988,2025-05-27,32107113,32386816,Internal Registration,3,Urgent Care,Ambulatory,Registration Information,Duplicate registration attempt,Registration Process,Resolved,Split,12,Berri Aldine,MONTEFIORE MEDICAL CENTER,Adult,88,54
2989,2023-09-28,73859332,39226870,Internal Registration,7,Inpatient,Inpatient,Patient Input Error,Guardian entered own name,Patient Name,Resolved,Split,13,Malva Hylton,WALLACE THOMSON HOSPITAL,Adult,86,11
2990,2025-03-06,85005897,58149098,Emergency Department,3,Urgent Care,Ambulatory,Data Entry Error,Transposed first/last name,Patient Name,Resolved,Merge,5,Jenda Rozsa,CROWN MEDICAL CENTER,Senior,83,44
2991,2024-03-23,52381642,41936704,Self-schedule,8,Behavioral Health,Behavioral Health,Registration Information,Missing insurance information,Insurance Information,Pending Review,Pending,21,Meir Fibben,CARITAS GOOD SAMARITAN MEDICAL CENTER,Adult,94,13
2992,2025-12-15,7772926,20495810,Referral,5,Laboratory,Ancillary,Data Entry Error,DOB typo,Date of Birth,Resolved,KND,15,Elsworth Dwight,TREJO MEDICAL CENTER INC,Adult,75,187
